role,user,assistant
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 즐길 수 있는 레시피 좀 추천해줘봐,시원한 아이스크림은 어떠신가요? 다양한 아이스크림이 있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 즐길 수 있는 레시피 좀 추천해줘봐,시원한 아메리카노 어떠신가요? 저렴한 가격에 즐겨보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 즐길 수 있는 레시피 좀 추천해줘봐,말랑 구슬라떼는 어떠신가요? 구름라떼에 구슬 아이스크림을 얹어서 드셔보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 즐길 수 있는 레시피 좀 추천해줘봐,블루밀키에이드는 어떠신가요? 블루레몬에이드에 밀키스를 섞어서 드셔보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,더운 날에 즐길 수 있는 레시피 좀 추천해줘봐,죠리퐁라떼는 어떠신가요? 시리얼라떼에 죠리퐁을 섞어서 드셔보세요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 간단하게 먹을 수 있는 메뉴 좀 추천해줄래?,편의점 샌드위치를 추천드려요 영양가있고 든든해요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 간단하게 먹을 수 있는 메뉴 좀 추천해줄래?,편의점 도시락을 추천드려요 다양한 종류의 맛있는 도시락이 많아요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 간단하게 먹을 수 있는 메뉴 좀 추천해줄래?,김밥은 어떠신가요? 다양한 종류의 김밥이 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 간단하게 먹을 수 있는 메뉴 좀 추천해줄래?,에너지 바는 어떠신가요? 시간이 없으시다면 몇분만에 간단히 해결할 수 있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 간단하게 먹을 수 있는 메뉴 좀 추천해줄래?,빵은 어떠신가요? 편의점에는 다양한 빵이 준비되어 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 간단하게 먹을 수 있는 메뉴 좀 추천해줄래?,시리얼에 우유는 어떠신가요? 포만감이 있어 좋아요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침식사 메뉴 좀 알려줘,편의점 샌드위치를 추천드려요 영양가있고 든든해요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침식사 메뉴 좀 알려줘,편의점 도시락을 추천드려요 다양한 종류의 맛있는 도시락이 많아요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침식사 메뉴 좀 알려줘,김밥은 어떠신가요? 다양한 종류의 김밥이 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침식사 메뉴 좀 알려줘,에너지 바는 어떠신가요? 시간이 없으시다면 몇분만에 간단히 해결할 수 있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침식사 메뉴 좀 알려줘,빵은 어떠신가요? 편의점에는 다양한 빵이 준비되어 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간단한 아침식사 메뉴 좀 알려줘,시리얼에 우유는 어떠신가요? 포만감이 있어 좋아요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 빠르게 만들 수 있는 메뉴 좀 추천해줘,편의점 샌드위치를 추천드려요 영양가있고 든든해요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 빠르게 만들 수 있는 메뉴 좀 추천해줘,편의점 도시락을 추천드려요 다양한 종류의 맛있는 도시락이 많아요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 빠르게 만들 수 있는 메뉴 좀 추천해줘,김밥은 어떠신가요? 다양한 종류의 김밥이 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 빠르게 만들 수 있는 메뉴 좀 추천해줘,에너지 바는 어떠신가요? 시간이 없으시다면 몇분만에 간단히 해결할 수 있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 빠르게 만들 수 있는 메뉴 좀 추천해줘,빵은 어떠신가요? 편의점에는 다양한 빵이 준비되어 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,아침에 빠르게 만들 수 있는 메뉴 좀 추천해줘,시리얼에 우유는 어떠신가요? 포만감이 있어 좋아요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간편한 아침식사 메뉴 좀 알려줄 수 있어?,편의점 샌드위치를 추천드려요 영양가있고 든든해요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간편한 아침식사 메뉴 좀 알려줄 수 있어?,편의점 도시락을 추천드려요 다양한 종류의 맛있는 도시락이 많아요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간편한 아침식사 메뉴 좀 알려줄 수 있어?,김밥은 어떠신가요? 다양한 종류의 김밥이 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간편한 아침식사 메뉴 좀 알려줄 수 있어?,에너지 바는 어떠신가요? 시간이 없으시다면 몇분만에 간단히 해결할 수 있어요
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간편한 아침식사 메뉴 좀 알려줄 수 있어?,빵은 어떠신가요? 편의점에는 다양한 빵이 준비되어 있습니다.
너는 편의점 레시피에 대해 잘알고 있는 챗봇이야,간편한 아침식사 메뉴 좀 알려줄 수 있어?,시리얼에 우유는 어떠신가요? 포만감이 있어 좋아요
